년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
21-Apr,서귀포시,대륜동,기타 외국식 음식점업,여성,206,7738100,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,기타 주점업,남성,4,2192000,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,과실 및 채소 소매업,여성,425,48107500,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,남원읍,한식 음식점업,남성,6382,273939682,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,비알콜 음료점업,여성,714,6828070,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,대륜동,슈퍼마켓,법인,191,12722060,,,,2021-07-26
21-Apr,서귀포시,대륜동,기타 주점업,법인,1,200000,,,,2021-07-26
21-Apr,서귀포시,대륜동,마사지업,여성,1,200000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,비알콜 음료점업,남성,1525,12630510,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,비알콜 음료점업,법인,239,2930100,,,,2021-07-26
21-Apr,서귀포시,대륜동,비알콜 음료점업,여성,1274,11528000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,빵 및 과자류 소매업,남성,922,17552030,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,빵 및 과자류 소매업,법인,263,9058260,,,,2021-07-26
21-Apr,서귀포시,대륜동,빵 및 과자류 소매업,여성,1288,19391200,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,서양식 음식점업,남성,2027,44682880,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,여관업,여성,416,45811346,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,서양식 음식점업,법인,447,10964980,,,,2021-07-26
21-Apr,서귀포시,대륜동,마사지업,법인,5,2050000,,,,2021-07-26
21-Apr,서귀포시,대륜동,수산물 소매업,남성,43,4023900,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,수산물 소매업,여성,34,1436000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,슈퍼마켓,남성,1039,21782010,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,슈퍼마켓,여성,550,11476170,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,남성,15,4280000,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,법인,3,802000,,,,2021-07-26
21-Apr,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,여성,6,1380000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,여관업,남성,559,63786545,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,서양식 음식점업,여성,2672,60164510,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,한식 음식점업,법인,2887,160566000,,,,2021-07-26
21-Apr,서귀포시,대륜동,한식 음식점업,여성,4547,158618700,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,수산물 소매업,법인,12,2319000,,,,2021-07-26
21-Apr,서귀포시,대륜동,마사지업,남성,6,810000,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,여관업,법인,271,78672630,,,,2021-07-26
21-Apr,서귀포시,대륜동,육류 소매업,남성,39,2747100,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,일식 음식점업,남성,526,34427000,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,일식 음식점업,법인,202,17657000,,,,2021-07-26
21-Apr,서귀포시,대정읍,여관업,여성,365,8819730,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대륜동,일반유흥 주점업,여성,14,880000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,일반유흥 주점업,법인,3,314000,,,,2021-07-26
21-Apr,서귀포시,대륜동,일식 음식점업,여성,341,18409500,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,전시 및 행사 대행업,남성,245,6566200,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,전시 및 행사 대행업,법인,40,3349500,,,,2021-07-26
21-Apr,서귀포시,대륜동,전시 및 행사 대행업,여성,257,6762600,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,육류 소매업,법인,9,3383400,,,,2021-07-26
21-Apr,서귀포시,대륜동,중식 음식점업,남성,703,15726500,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,중식 음식점업,여성,338,7558500,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,차량용 주유소 운영업,남성,3654,175406708,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,차량용 주유소 운영업,법인,1265,102757381,,,,2021-07-26
21-Apr,서귀포시,대륜동,차량용 주유소 운영업,여성,1875,84430409,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,체인화 편의점,남성,11732,109574870,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,체인화 편의점,법인,1464,17469010,,,,2021-07-26
21-Apr,서귀포시,대륜동,체인화 편의점,여성,5374,50624130,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,146,3199460,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",법인,29,5310770,,,,2021-07-26
21-Apr,서귀포시,대륜동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,115,2544850,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,중식 음식점업,법인,252,9769200,,,,2021-07-26
21-Apr,서귀포시,대륜동,한식 음식점업,남성,7457,271054111,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,호텔업,남성,4,76500,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,남원읍,비알콜 음료점업,법인,159,1940400,,,,2021-07-26
21-Apr,서귀포시,대정읍,기타음식료품위주종합소매업,남성,3237,141589140,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,기타음식료품위주종합소매업,여성,2774,131638790,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,건강보조식품 소매업,남성,10,853500,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,건강보조식품 소매업,법인,6,2503000,,,,2021-07-26
21-Apr,서귀포시,대정읍,건강보조식품 소매업,여성,9,893000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,과실 및 채소 소매업,남성,250,12136650,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,과실 및 채소 소매업,법인,92,10813130,,,,2021-07-26
21-Apr,서귀포시,대정읍,과실 및 채소 소매업,여성,284,13115850,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,남성,83,2992125,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,법인,7,309500,,,,2021-07-26
21-Apr,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,여성,133,3300600,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,남성,6,205000,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대륜동,화장품 및 방향제 소매업,여성,2,390000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,여성,5,145000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 스포츠시설 운영업,법인,2,340000,,,,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 스포츠시설 운영업,여성,1,160000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 종합 소매업,남성,3,1120000,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 종합 소매업,법인,2,5650000,,,,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 종합 소매업,여성,2,1200000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,기타 외국식 음식점업,남성,81,1425100,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,기타 외국식 음식점업,법인,25,419500,,,,2021-07-26
21-Apr,서귀포시,대륜동,기타음식료품위주종합소매업,여성,2552,85092320,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대정읍,여관업,법인,153,10796500,,,,2021-07-26
21-Apr,서귀포시,대륜동,기타음식료품위주종합소매업,법인,617,36805400,,,,2021-07-26
21-Apr,서귀포시,대정읍,그외 기타 스포츠시설 운영업,남성,2,25000,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대륜동,화장품 및 방향제 소매업,법인,2,1150000,,,,2021-07-26
21-Apr,서귀포시,대륜동,호텔업,여성,10,951300,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,호텔업,법인,7,5806142,,,,2021-07-26
21-Apr,서귀포시,대정읍,비알콜 음료점업,남성,1383,16304010,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,비알콜 음료점업,법인,413,6483820,,,,2021-07-26
21-Apr,서귀포시,대정읍,비알콜 음료점업,여성,1456,15554260,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,빵 및 과자류 소매업,남성,2232,32993210,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,빵 및 과자류 소매업,법인,816,21210740,,,,2021-07-26
21-Apr,서귀포시,대정읍,빵 및 과자류 소매업,여성,2889,42277190,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,서양식 음식점업,남성,3488,69344970,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,기타 주점업,여성,22,3882000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,서양식 음식점업,법인,1103,36378620,,,,2021-07-26
21-Apr,서귀포시,대정읍,수산물 소매업,남성,474,32921900,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,수산물 소매업,법인,195,28082400,,,,2021-07-26
21-Apr,서귀포시,대정읍,수산물 소매업,여성,323,28252000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,슈퍼마켓,남성,7789,252436921,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,슈퍼마켓,법인,2942,234457503,,,,2021-07-26
21-Apr,서귀포시,대정읍,슈퍼마켓,여성,7272,256693962,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,남성,354,15576800,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,법인,67,4960700,,,,2021-07-26
21-Apr,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,여성,171,10425380,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,여관업,남성,453,20844920,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,서양식 음식점업,여성,4217,84147250,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,기타 주점업,법인,17,3340000,,,,2021-07-26
21-Apr,서귀포시,대정읍,기타 주점업,남성,161,37640000,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,기타 외국식 음식점업,여성,27,442500,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,기타음식료품위주종합소매업,법인,994,69699240,,,,2021-07-26
21-Apr,서귀포시,대정읍,여행사업,법인,1,195000,,,,2021-07-26
21-Apr,서귀포시,대정읍,욕탕업,법인,12,707000,,,,2021-07-26
21-Apr,서귀포시,동홍동,빵 및 과자류 소매업,여성,1028,10474040,7070432.091,495923.621,2577528.634,2021-07-26
21-Apr,서귀포시,대정읍,육류 소매업,남성,152,7650460,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,육류 소매업,법인,78,5922160,,,,2021-07-26
21-Apr,서귀포시,대정읍,육류 소매업,여성,220,9814250,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,일반유흥 주점업,남성,282,65856014,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,일반유흥 주점업,법인,45,10017000,,,,2021-07-26
21-Apr,서귀포시,대정읍,일반유흥 주점업,여성,30,7621000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,일식 음식점업,남성,497,32717500,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,일식 음식점업,법인,242,27146100,,,,2021-07-26
21-Apr,서귀포시,대정읍,일식 음식점업,여성,332,21100120,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,전시 및 행사 대행업,남성,338,1546200,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,욕탕업,여성,46,1823000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,전시 및 행사 대행업,법인,56,3454300,,,,2021-07-26
21-Apr,서귀포시,대정읍,중식 음식점업,남성,1330,38855766,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,중식 음식점업,법인,499,18244433,,,,2021-07-26
21-Apr,서귀포시,대정읍,중식 음식점업,여성,936,28162136,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,차량용 가스 충전업,남성,53,4082700,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,차량용 가스 충전업,법인,68,9460800,,,,2021-07-26
21-Apr,서귀포시,대정읍,차량용 가스 충전업,여성,51,6284000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,차량용 주유소 운영업,남성,5067,280915322,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,차량용 주유소 운영업,법인,1683,132153989,,,,2021-07-26
21-Apr,서귀포시,대정읍,차량용 주유소 운영업,여성,2285,112100458,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대천동,비알콜 음료점업,남성,970,7177890,2709242.092,315945.853,2213539.1980000003,2021-07-26
21-Apr,서귀포시,대정읍,전시 및 행사 대행업,여성,354,2645000,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,예래동,욕탕업,법인,11,204500,,,,2021-07-26
21-Apr,서귀포시,대정읍,체인화 편의점,남성,13539,140494550,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,체인화 편의점,여성,7313,68605940,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1547,20247130,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,한식 음식점업,남성,10693,454754029,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,한식 음식점업,법인,4245,244434459,,,,2021-07-26
21-Apr,서귀포시,대정읍,한식 음식점업,여성,6554,270958500,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대정읍,화장품 및 방향제 소매업,남성,71,2568150,6753502.994,508970.659,2724430.028,2021-07-26
21-Apr,서귀포시,대정읍,화장품 및 방향제 소매업,법인,32,1569550,,,,2021-07-26
21-Apr,서귀포시,대정읍,화장품 및 방향제 소매업,여성,133,4530012,6743441.298,410936.922,2729054.869,2021-07-26
21-Apr,서귀포시,대천동,건강보조식품 소매업,남성,7,895000,2709242.092,315945.853,2213539.1980000003,2021-07-26
21-Apr,서귀포시,대천동,건강보조식품 소매업,법인,1,35000,,,,2021-07-26
